section,section_name,check,level,status,n_columns_attempted,n_columns_coerced_ok,n_columns_failed,detail,timestamp,n_columns_imputed,n_high_missing_columns,n_columns_treated,n_rows_dropped,n_columns_consolidated,n_values_consolidated,n_columns_with_constraints,n_values_modified,n_rules_repairable,n_rules_applied,n_rows_repaired,n_features_configured,n_features_success,n_features_error,n_categorical_features,n_one_hot,n_ordinal,n_target,n_columns_summarized,avg_delta_pct_missing,avg_delta_pct_outliers,config_hash,schema_hash,n_checks_run,n_checks_ok,n_checks_fail,run_status,integrity_index,revalidation_status,n_rows_exported,n_cols_exported,formats,n_rows_changed,n_cells_changed,mode
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-21 00:35:49.154514+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-11-21 02:28:12.972836+00:00,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,22.0,22.0,0.0,type_coercion_log.csv,2025-11-21 02:35:25.379326+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,OK,,,,missing_value_imputations.csv,2025-11-21 02:35:25.416839+00:00,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-11-21 02:35:25.507654+00:00,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-11-21 02:35:25.545767+00:00,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-11-21 02:35:26.104825+00:00,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-11-21 02:37:12.018750+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-11-21 02:40:04.617234+00:00,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-11-21 02:40:07.002113+00:00,,,,,,,,,,,,,,,17.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,
