column,dtype,empty_strings,examples,kurtosis,max,mean,median,min,n_levels,n_rows,n_violations,nulls,pct_blank,pct_missing,q1,q3,rule,run_ts,section,skew,std,threshold,total_issues,value,whitespace_only,convertible_pct,non_convertible_count,infinite_count,mixed_python_types,suggested_fix,convertible_pct_raw,convertible_pct_stripped,likely_numeric_text,non_convertible_count_after_strip,examples_after_strip
Churn_flag,int8,,[],-0.8702113423319808,1.0,0.2653698707936959,0.0,0.0,,7043.0,0.0,,,,0.0,1.0,distribution_summary,2025-10-30T21:28:08,2.6_numeric_distribution_outliers,1.063031444575135,0.441561305121947,,,,,,,,,,,,,,
MonthlyCharges,float64,,[],-1.2572596945495056,118.75,64.76169246059918,70.35,18.25,,7043.0,0.0,,,,35.5,89.85,distribution_summary,2025-10-30T21:28:08,2.6_numeric_distribution_outliers,-0.2205244339439803,30.090047097678493,,,,,,,,,,,,,,
SeniorCitizen,int64,,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",1.3625958957939108,1.0,0.1621468124378816,0.0,0.0,,7043.0,1142.0,,,,0.0,0.0,outliers_IQR>1.5×,2025-10-30T21:28:08,2.6_numeric_distribution_outliers,1.8336327440928564,0.3686116056100131,1.5,,,,,,,,,,,,,
TotalCharges,float64,,[],-0.2317987608693794,8684.8,2283.300440841866,1397.475,18.8,,7043.0,0.0,,,,401.45,3794.7375,distribution_summary,2025-10-30T21:28:08,2.6_numeric_distribution_outliers,0.9616424997242504,2266.771361883145,,,,,,,,,,,,,,
tenure,int64,,[],-1.387371635971685,72.0,32.37114865824223,29.0,0.0,,7043.0,0.0,,,,9.0,55.0,distribution_summary,2025-10-30T21:28:08,2.6_numeric_distribution_outliers,0.2395397495619829,24.55948102309446,,,,,,,,,,,,,,
SeniorCitizen,,,,,,,,,,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,,,,,100.00,0.0,0.0,1.0,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,
tenure,,,,,,,,,,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,,,,,100.00,0.0,0.0,1.0,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,
MonthlyCharges,,,,,,,,,,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,,,,,100.00,0.0,0.0,1.0,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,
TotalCharges,,,,,,,,,,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,,,,,99.84,11.0,0.0,1.0,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,
Churn_flag,,,,,,,,,,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,,,,,100.00,0.0,0.0,1.0,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,
customerID,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['7590-VHVEG', '5575-GNVDE', '3668-QPYBK', '7795-CFOCW', '9237-HQITU']"
gender,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['Female', 'Male']"
Partner,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['Yes', 'No']"
Dependents,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No', 'Yes']"
PhoneService,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No', 'Yes']"
MultipleLines,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No phone service', 'No', 'Yes']"
InternetService,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['DSL', 'Fiber optic', 'No']"
OnlineSecurity,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No', 'Yes', 'No internet service']"
OnlineBackup,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['Yes', 'No', 'No internet service']"
DeviceProtection,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No', 'Yes', 'No internet service']"
TechSupport,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No', 'Yes', 'No internet service']"
StreamingTV,,,,,,,,,,,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,,,,,,,,1.0,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",0.00,0.00,False,7043.0,"['No', 'Yes', 'No internet service']"
